DATE,VALUE
1988-02-01,113.000
1988-03-01,113.600
1988-04-01,114.800
1988-05-01,115.000
1988-06-01,114.900
1988-07-01,117.000
1988-08-01,118.000
1988-09-01,117.400
1988-10-01,118.300
1988-11-01,117.600
1988-12-01,117.600
1989-01-01,119.700
1989-02-01,120.600
1989-03-01,120.700
1989-04-01,120.800
1989-05-01,120.600
1989-06-01,119.800
1989-07-01,119.000
1989-08-01,118.400
1989-09-01,118.100
1989-10-01,117.800
1989-11-01,116.900
1989-12-01,116.500
1990-01-01,116.700
1990-02-01,116.200
1990-03-01,116.500
1990-04-01,117.100
1990-05-01,117.900
1990-06-01,117.400
1990-07-01,117.500
1990-08-01,118.200
1990-09-01,117.900
1990-10-01,117.500
1990-11-01,116.900
1990-12-01,116.800
1991-01-01,117.000
1991-02-01,116.600
1991-03-01,115.800
1991-04-01,115.400
1991-05-01,114.500
1991-06-01,113.500
1991-07-01,113.300
1991-08-01,113.000
1991-09-01,112.800
1991-10-01,112.400
1991-11-01,112.300
1991-12-01,112.300
1992-01-01,112.100
1992-02-01,112.300
1992-03-01,112.700
1992-04-01,112.300
1992-05-01,112.200
1992-06-01,111.400
1992-07-01,111.400
1992-08-01,111.200
1992-09-01,111.000
1992-10-01,110.300
1992-11-01,110.100
1992-12-01,110.600
1993-01-01,111.900
1993-02-01,113.100
1993-03-01,113.400
1993-04-01,113.500
1993-05-01,114.200
1993-06-01,115.600
1993-07-01,116.500
1993-08-01,116.700
1993-09-01,117.300
1993-10-01,119.000
1993-11-01,119.900
1993-12-01,120.800
1994-01-01,121.300
1994-02-01,122.000
1994-03-01,121.800
1994-04-01,121.400
1994-05-01,120.600
1994-06-01,118.800
1994-07-01,120.400
1994-08-01,122.300
1994-09-01,123.100
1994-10-01,123.100
1994-11-01,124.100
1994-12-01,124.700
1995-01-01,127.200
1995-02-01,128.400
1995-03-01,129.100
1995-04-01,129.800
1995-05-01,129.900
1995-06-01,129.700
1995-07-01,129.900
1995-08-01,130.400
1995-09-01,129.400
1995-10-01,128.400
1995-11-01,126.900
1995-12-01,126.600
