DATE,VALUE
1988-02-01,114.100
1988-03-01,113.700
1988-04-01,113.800
1988-05-01,114.400
1988-06-01,114.200
1988-07-01,114.400
1988-08-01,114.700
1988-09-01,114.800
1988-10-01,115.100
1988-11-01,115.200
1988-12-01,115.400
1989-01-01,116.200
1989-02-01,116.600
1989-03-01,116.700
1989-04-01,116.800
1989-05-01,117.000
1989-06-01,117.500
1989-07-01,117.900
1989-08-01,118.000
1989-09-01,117.900
1989-10-01,118.400
1989-11-01,118.300
1989-12-01,118.400
1990-01-01,118.900
1990-02-01,118.600
1990-03-01,118.900
1990-04-01,119.000
1990-05-01,119.000
1990-06-01,119.200
1990-07-01,119.500
1990-08-01,119.400
1990-09-01,119.500
1990-10-01,119.600
1990-11-01,119.800
1990-12-01,119.900
1991-01-01,120.500
1991-02-01,120.600
1991-03-01,120.700
1991-04-01,120.900
1991-05-01,120.700
1991-06-01,120.800
1991-07-01,120.900
1991-08-01,120.900
1991-09-01,120.800
1991-10-01,120.800
1991-11-01,120.900
1991-12-01,120.900
1992-01-01,120.900
1992-02-01,121.200
1992-03-01,121.400
1992-04-01,121.200
1992-05-01,121.300
1992-06-01,121.200
1992-07-01,121.200
1992-08-01,121.200
1992-09-01,121.200
1992-10-01,121.400
1992-11-01,121.600
1992-12-01,121.700
1993-01-01,122.000
1993-02-01,122.200
1993-03-01,122.200
1993-04-01,122.600
1993-05-01,122.400
1993-06-01,122.400
1993-07-01,122.400
1993-08-01,122.500
1993-09-01,122.600
1993-10-01,122.700
1993-11-01,122.800
1993-12-01,122.700
1994-01-01,123.100
1994-02-01,123.200
1994-03-01,123.300
1994-04-01,123.600
1994-05-01,123.700
1994-06-01,123.700
1994-07-01,123.800
1994-08-01,123.500
1994-09-01,123.400
1994-10-01,123.200
1994-11-01,123.400
1994-12-01,123.400
1995-01-01,123.900
1995-02-01,124.200
1995-03-01,124.100
1995-04-01,124.200
1995-05-01,124.200
1995-06-01,124.100
1995-07-01,124.000
1995-08-01,124.000
1995-09-01,124.200
1995-10-01,124.800
1995-11-01,124.900
1995-12-01,124.300
1996-01-01,124.600
1996-02-01,124.600
1996-03-01,124.100
1996-04-01,123.600
1996-05-01,123.200
1996-06-01,122.900
1996-07-01,123.100
1996-08-01,123.200
1996-09-01,123.200
1996-10-01,122.900
1996-11-01,122.900
1996-12-01,123.200
1997-01-01,123.000
1997-02-01,122.900
1997-03-01,122.700
1997-04-01,122.600
1997-05-01,122.400
1997-06-01,122.400
1997-07-01,122.600
1997-08-01,122.100
1997-09-01,122.000
1997-10-01,121.600
1997-11-01,121.800
1997-12-01,121.800
1998-01-01,121.800
1998-02-01,121.600
1998-03-01,121.500
1998-04-01,121.200
1998-05-01,121.100
1998-06-01,121.100
1998-07-01,120.800
1998-08-01,120.700
1998-09-01,120.600
1998-10-01,120.600
1998-11-01,120.600
1998-12-01,120.400
1999-01-01,120.600
1999-02-01,120.600
1999-03-01,120.500
1999-04-01,120.300
1999-05-01,119.800
1999-06-01,119.600
1999-07-01,119.500
1999-08-01,119.400
1999-09-01,119.200
1999-10-01,119.300
1999-11-01,119.300
1999-12-01,119.300
2000-01-01,119.000
2000-02-01,118.800
2000-03-01,118.600
2000-04-01,118.700
2000-05-01,118.800
2000-06-01,118.800
2000-07-01,119.000
2000-08-01,118.900
2000-09-01,118.900
2000-10-01,118.700
2000-11-01,118.600
2000-12-01,118.100
2001-01-01,118.200
2001-02-01,118.000
2001-03-01,118.100
2001-04-01,117.800
2001-05-01,117.700
2001-06-01,117.400
2001-07-01,117.100
2001-08-01,116.900
2001-09-01,116.800
2001-10-01,116.700
2001-11-01,116.700
2001-12-01,116.700
2002-01-01,116.900
2002-02-01,116.900
2002-03-01,117.100
2002-04-01,116.600
2002-05-01,116.400
2002-06-01,116.400
2002-07-01,116.000
2002-08-01,116.100
2002-09-01,116.100
2002-10-01,115.800
2002-11-01,115.800
2002-12-01,115.400
2003-01-01,115.300
2003-02-01,115.000
2003-03-01,115.100
2003-04-01,115.200
2003-05-01,115.200
2003-06-01,114.900
2003-07-01,114.600
2003-08-01,114.400
2003-09-01,114.400
2003-10-01,114.200
2003-11-01,114.200
2003-12-01,114.000
2004-01-01,113.500
2004-02-01,113.300
2004-03-01,113.400
2004-04-01,113.700
2004-05-01,113.700
2004-06-01,113.700
2004-07-01,113.200
2004-08-01,113.300
2004-09-01,113.300
2004-10-01,113.300
2004-11-01,113.300
2004-12-01,113.300
2005-01-01,113.400
2005-02-01,113.400
2005-03-01,113.300
2005-04-01,113.300
2005-05-01,113.100
2005-06-01,113.000
2005-07-01,113.100
2005-08-01,113.200
2005-09-01,112.900
2005-10-01,113.000
2005-11-01,112.600
2005-12-01,112.300
2006-01-01,112.200
2006-02-01,112.300
2006-03-01,114.000
2006-04-01,114.700
2006-05-01,114.800
2006-06-01,115.000
2006-07-01,115.300
2006-08-01,116.000
2006-09-01,116.400
2006-10-01,116.100
2006-11-01,116.000
2006-12-01,115.900
2007-01-01,116.000
2007-02-01,114.500
2007-03-01,114.000
2007-04-01,114.100
2007-05-01,113.700
2007-06-01,114.000
2007-07-01,113.400
2007-08-01,113.100
2007-09-01,113.000
2007-10-01,112.900
2007-11-01,112.800
2007-12-01,112.600
2008-01-01,112.700
2008-02-01,113.200
2008-03-01,113.200
2008-04-01,113.200
2008-05-01,113.500
2008-06-01,113.700
2008-07-01,113.700
2008-08-01,113.700
2008-09-01,113.800
2008-10-01,114.000
2008-11-01,113.600
2008-12-01,113.300
2009-01-01,113.300
2009-02-01,113.300
2009-03-01,113.500
2009-04-01,113.400
2009-05-01,113.400
2009-06-01,113.300
2009-07-01,113.400
2009-08-01,113.500
2009-09-01,113.500
2009-10-01,113.600
2009-11-01,113.600
2009-12-01,113.400
2010-01-01,113.400
2010-02-01,113.500
2010-03-01,113.600
2010-04-01,113.400
2010-05-01,113.500
2010-06-01,113.400
2010-07-01,113.400
2010-08-01,113.200
2010-09-01,113.000
2010-10-01,112.900
2010-11-01,112.600
2010-12-01,112.700
2011-01-01,112.900
2011-02-01,113.200
2011-03-01,113.300
2011-04-01,113.300
2011-05-01,113.300
2011-06-01,113.300
2011-07-01,113.300
2011-08-01,113.300
2011-09-01,113.100
2011-10-01,113.200
2011-11-01,113.100
2011-12-01,113.100
2012-01-01,113.400
2012-02-01,113.500
2012-03-01,113.500
2012-04-01,113.500
2012-05-01,113.700
2012-06-01,113.500
2012-07-01,113.400
2012-08-01,113.300
2012-09-01,113.100
2012-10-01,113.100
2012-11-01,113.000
2012-12-01,112.800
2013-01-01,113.400
2013-02-01,113.400
2013-03-01,113.400
2013-04-01,113.600
2013-05-01,113.800
2013-06-01,113.800
2013-07-01,113.900
2013-08-01,113.900
2013-09-01,113.800
2013-10-01,113.900
2013-11-01,113.800
2013-12-01,113.900
2014-01-01,113.800
2014-02-01,113.800
2014-03-01,113.700
2014-04-01,113.600
2014-05-01,113.600
2014-06-01,113.600
2014-07-01,113.700
2014-08-01,113.700
2014-09-01,113.800
2014-10-01,113.800
2014-11-01,113.800
2014-12-01,113.800
2015-01-01,114.100
2015-02-01,114.100
2015-03-01,114.100
2015-04-01,114.000
2015-05-01,114.100
2015-06-01,113.900
2015-07-01,113.900
2015-08-01,113.700
2015-09-01,113.600
2015-10-01,113.500
2015-11-01,113.500
2015-12-01,113.500
2016-01-01,113.300
2016-02-01,113.200
2016-03-01,113.300
2016-04-01,113.200
2016-05-01,113.200
2016-06-01,113.100
2016-07-01,113.200
2016-08-01,113.100
2016-09-01,113.000
2016-10-01,112.800
2016-11-01,112.700
2016-12-01,112.700
2017-01-01,113.700
2017-02-01,113.700
2017-03-01,113.700
2017-04-01,114.000
2017-05-01,113.900
2017-06-01,114.000
2017-07-01,113.600
2017-08-01,113.600
2017-09-01,113.400
2017-10-01,113.400
2017-11-01,113.500
2017-12-01,113.500
2018-01-01,114.000
2018-02-01,114.500
2018-03-01,114.900
2018-04-01,115.000
2018-05-01,114.900
2018-06-01,115.000
2018-07-01,115.600
2018-08-01,115.400
